UNDEF;Undefined
A07.1;Giardiasis [Lambliasis]
A07.2;Kryptosporidiose
A07.3;Isosporose
A07.8;Sonstige näher bezeichnete Darmkrankheiten durch Protozoen
A07.9;Darmkrankheit durch Protozoen, nicht näher bezeichnet
A08;Virusbedingte und sonstige näher bezeichnete Darminfektionen
A08.0;Enteritis durch Rotaviren
A08.1;Akute Gastroenteritis durch Norovirus [Norwalk-Virus]
A08.2;Enteritis durch Adenoviren
A08.3;Enteritis durch sonstige Viren
A08.4;Virusbedingte Darminfektion, nicht näher bezeichnet
A08.5;Sonstige näher bezeichnete Darminfektionen
A09;Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs
A09.0;Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen Ursprungs
A09.9;Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis nicht näher bezeichneten Ursprungs
A15;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A15.0;Lungentuberkulose, durch mikroskopische Untersuchung des Sputums gesichert, mit oder ohne Nachweis durch Kultur oder molekularbiologische Verfahren
A15.1;Lungentuberkulose, nur durch Kultur gesichert
A15.2;Lungentuberkulose, histologisch gesichert
A15.3;Lungentuberkulose, durch sonstige und nicht näher bezeichnete Untersuchungsverfahren gesichert
A15.4;Tuberkulose der intrathorakalen Lymphknoten, bakteriologisch, molekularbiologisch oder histologisch gesichert
A15.5;Tuberkulose des Larynx, der Trachea und der Bronchien, bakteriologisch, molekularbiologisch oder histologisch gesichert
A15.6;Tuberkulöse Pleuritis, bakteriologisch, molekularbiologisch oder histologisch gesichert
A15.7;Primäre Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A15.8;Sonstige Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A15.9;Nicht näher bezeichnete Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A16;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert
A16.0;Lungentuberkulose, weder bakteriologisch, molekularbiologisch noch histologisch gesichert
A16.1;Lungentuberkulose, bakteriologische, molekularbiologische und histologische Untersuchung nicht durchgeführt
A16.2;Lungentuberkulose ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A16.3;Tuberkulose der intrathorakalen Lymphknoten ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A16.4;Tuberkulose des Larynx, der Trachea und der Bronchien ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A16.5;Tuberkulöse Pleuritis ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A16.7;Primäre Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A16.8;Sonstige Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A16.9;Nicht näher bezeichnete Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A17;Tuberkulose des Nervensystems
A17.0;Tuberkulöse Meningitis
A17.1;Meningeales Tuberkulom
A17.8;Sonstige Tuberkulose des Nervensystems
A17.9;Tuberkulose des Nervensystems, nicht näher bezeichnet
A18;Tuberkulose sonstiger Organe
A18.0;Tuberkulose der Knochen und Gelenke
A18.1;Tuberkulose des Urogenitalsystems
A18.2;Tuberkulose peripherer Lymphknoten
A18.3;Tuberkulose des Darmes, des Peritoneums und der Mesenteriallymphknoten
A18.4;Tuberkulose der Haut und des Unterhautgewebes
A18.5;Tuberkulose des Auges
A18.6;Tuberkulose des Ohres
A18.7;Tuberkulose der Nebennieren
A18.8;Tuberkulose sonstiger näher bezeichneter Organe
A19;Miliartuberkulose
A19.0;Akute Miliartuberkulose einer einzelnen näher bezeichneten Lokalisation
A19.1;Akute Miliartuberkulose mehrerer Lokalisationen
A19.2;Akute Miliartuberkulose, nicht näher bezeichnet
A19.8;Sonstige Miliartuberkulose
A19.9;Miliartuberkulose, nicht näher bezeichnet
A20;Pest
A20.0;Bubonenpest
A20.1;Hautpest
A20.2;Lungenpest
A20.3;Pestmeningitis
A20.7;Pestsepsis
A20.8;Sonstige Formen der Pest
A20.9;Pest, nicht näher bezeichnet
A21;Tularämie
A21.0;Ulzeroglanduläre Tularämie
A21.1;Okuloglanduläre Tularämie
A21.2;Pulmonale Tularämie
A21.3;Gastrointestinale Tularämie
A21.7;Generalisierte Tularämie
A21.8;Sonstige Formen der Tularämie
A21.9;Tularämie, nicht näher bezeichnet
A22;Anthrax [Milzbrand]
A22.0;Hautmilzbrand
A22.1;Lungenmilzbrand
A22.2;Darmmilzbrand
A22.7;Milzbrandsepsis
A22.8;Sonstige Formen des Milzbrandes
A22.9;Milzbrand, nicht näher bezeichnet
A23;Brucellose
A23.0;Brucellose durch Brucella melitensis
A23.1;Brucellose durch Brucella abortus
A23.2;Brucellose durch Brucella suis
A23.3;Brucellose durch Brucella canis
A23.8;Sonstige Brucellose
A23.9;Brucellose, nicht näher bezeichnet
A24;Rotz [Malleus] und Melioidose [Pseudorotz]
A24.0;Rotz
A24.1;Akute oder fulminante Melioidose
A24.2;Subakute oder chronische Melioidose
A24.3;Sonstige Melioidose
A24.4;Melioidose, nicht näher bezeichnet
A25;Rattenbisskrankheiten
A25.0;Spirillen-Rattenbisskrankheit
A25.1;Streptobazillen-Rattenbisskrankheit
A25.9;Rattenbisskrankheit, nicht näher bezeichnet
A26;Erysipeloid
A26.0;Haut-Erysipeloid
A26.7;Erysipelothrix-Sepsis
A26.8;Sonstige Formen des Erysipeloids
A26.9;Erysipeloid, nicht näher bezeichnet
A27;Leptospirose
A27.0;Leptospirosis icterohaemorrhagica [Weil-Krankheit]
A27.8;Sonstige Formen der Leptospirose
A27.9;Leptospirose, nicht näher bezeichnet
A28;Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert
A28.0;Pasteurellose
A28.1;Katzenkratzkrankheit
A28.2;Extraintestinale Yersiniose
A28.8;Sonstige näher bezeichnete bakterielle Zoonosen, anderenorts nicht klassifiziert
A28.9;Bakterielle Zoonose, nicht näher bezeichnet
A30;Lepra [Aussatz]
A30.0;Indeterminierte Lepra
A30.1;Tuberkuloide Lepra
A30.2;Borderline-tuberkuloide Lepra
A30.3;Borderline-Lepra
A30.4;Borderline-lepromatöse Lepra
A30.5;Lepromatöse Lepra
A30.8;Sonstige Formen der Lepra
A30.9;Lepra, nicht näher bezeichnet
A31;Infektion durch sonstige Mykobakterien
A31.0;Infektion der Lunge durch sonstige Mykobakterien
A31.1;Infektion der Haut durch sonstige Mykobakterien
A31.8;Sonstige Infektionen durch Mykobakterien
A31.80;Disseminierte atypische Mykobakteriose
A31.88;Sonstige Infektionen durch Mykobakterien
A31.9;Infektion durch Mykobakterien, nicht näher bezeichnet
A32;Listeriose
A32.0;Kutane Listeriose
A32.1;Meningitis und Meningoenzephalitis durch Listerien
A32.7;Listeriensepsis
A32.8;Sonstige Formen der Listeriose
A32.9;Listeriose, nicht näher bezeichnet
A33;Tetanus neonatorum
A34;Tetanus während der Schwangerschaft, der Geburt und des Wochenbettes
A35;Sonstiger Tetanus
A36;Diphtherie
A36.0;Rachendiphtherie
A36.1;Nasenrachendiphtherie
A36.2;Kehlkopfdiphtherie
A36.3;Hautdiphtherie
A36.8;Sonstige Diphtherie
A36.9;Diphtherie, nicht näher bezeichnet
A37;Keuchhusten
A37.0;Keuchhusten durch Bordetella pertussis
A37.1;Keuchhusten durch Bordetella parapertussis
A37.8;Keuchhusten durch sonstige Bordetella-Spezies
A37.9;Keuchhusten, nicht näher bezeichnet
A38;Scharlach
A39;Meningokokkeninfektion
A39.0;Meningokokkenmeningitis
A39.1;Waterhouse-Friderichsen-Syndrom
A39.2;Akute Meningokokkensepsis
A39.3;Chronische Meningokokkensepsis
A39.4;Meningokokkensepsis, nicht näher bezeichnet
A39.5;Herzkrankheit durch Meningokokken
A39.8;Sonstige Meningokokkeninfektionen
A39.9;Meningokokkeninfektion, nicht näher bezeichnet
A40;Streptokokkensepsis
A40.0;Sepsis durch Streptokokken, Gruppe A
A40.1;Sepsis durch Streptokokken, Gruppe B
A40.2;Sepsis durch Streptokokken, Gruppe D
A40.3;Sepsis durch Streptococcus pneumoniae
A40.8;Sonstige Sepsis durch Streptokokken
A40.9;Sepsis durch Streptokokken, nicht näher bezeichnet
A41;Sonstige Sepsis
A41.0;Sepsis durch Staphylococcus aureus
A41.1;Sepsis durch sonstige näher bezeichnete Staphylokokken
A41.2;Sepsis durch nicht näher bezeichnete Staphylokokken
A41.3;Sepsis durch Haemophilus influenzae
A41.4;Sepsis durch Anaerobier
A41.5;Sepsis durch sonstige gramnegative Erreger
A41.51;Sepsis: Escherichia coli [E. coli]
A41.52;Sepsis: Pseudomonas
A41.58;Sepsis: Sonstige gramnegative Erreger
A41.8;Sonstige näher bezeichnete Sepsis
A41.9;Sepsis, nicht näher bezeichnet
A42;Aktinomykose
A42.0;Aktinomykose der Lunge
A42.1;Abdominale Aktinomykose
A42.2;Zervikofaziale Aktinomykose
A42.7;Aktinomykotische Sepsis
A42.8;Sonstige Formen der Aktinomykose
A42.9;Aktinomykose, nicht näher bezeichnet
A43;Nokardiose
A43.0;Pulmonale Nokardiose
A43.1;Nokardiose der Haut
A43.8;Sonstige Formen der Nokardiose
A43.9;Nokardiose, nicht näher bezeichnet
A44;Bartonellose
A44.0;Systemische Bartonellose
A44.1;Kutane und mukokutane Bartonellose
A44.8;Sonstige Formen der Bartonellose
A44.9;Bartonellose, nicht näher bezeichnet
A46;Erysipel [Wundrose]
A48;Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert
A48.0;Gasbrand [Gasödem]
A48.1;Legionellose mit Pneumonie
A48.2;Legionellose ohne Pneumonie [Pontiac-Fieber]
A48.3;Syndrom des toxischen Schocks
A48.4;Brazilian purpuric fever
A48.8;Sonstige näher bezeichnete bakterielle Krankheiten
A49;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.0;Staphylokokkeninfektion nicht näher bezeichneter Lokalisation
A49.1;Streptokokkeninfektion nicht näher bezeichneter Lokalisation
A49.2;Infektion durch Haemophilus influenzae nicht näher bezeichneter Lokalisation
A49.3;Mykoplasmeninfektion nicht näher bezeichneter Lokalisation
A49.8;Sonstige bakterielle Infektionen nicht näher bezeichneter Lokalisation
A49.9;Bakterielle Infektion, nicht näher bezeichnet
A50;Syphilis connata
A50.0;Floride konnatale Frühsyphilis
A50.1;Latente konnatale Frühsyphilis
A50.2;Konnatale Frühsyphilis, nicht näher bezeichnet
A50.3;Konnatale spätsyphilitische Augenkrankheit
A50.4;Konnatale spätauftretende Neurosyphilis [Juvenile Neurosyphilis]
A50.5;Sonstige Formen der floriden konnatalen Spätsyphilis
A50.6;Latente konnatale Spätsyphilis
A50.7;Konnatale Spätsyphilis, nicht näher bezeichnet
A50.9;Syphilis connata, nicht näher bezeichnet
A51;Frühsyphilis
A51.0;Primärer syphilitischer Genitalaffekt
A51.1;Analer Primäraffekt bei Syphilis
A51.2;Primäraffekt bei Syphilis, sonstige Lokalisationen
A51.3;Sekundäre Syphilis der Haut und der Schleimhäute
A51.4;Sonstige sekundäre Syphilis
A51.5;Latente Frühsyphilis
A51.9;Frühsyphilis, nicht näher bezeichnet
A52;Spätsyphilis
A52.0;Kardiovaskuläre Syphilis
A52.1;Floride Neurosyphilis
A52.2;Asymptomatische Neurosyphilis
A52.3;Neurosyphilis, nicht näher bezeichnet
A52.7;Sonstige floride Spätsyphilis
A52.8;Latente Spätsyphilis
A52.9;Spätsyphilis, nicht näher bezeichnet
A53;Sonstige und nicht näher bezeichnete Syphilis
A53.0;Latente Syphilis, nicht als früh oder spät bezeichnet
A53.9;Syphilis, nicht näher bezeichnet
A54;Gonokokkeninfektion
A54.0;Gonokokkeninfektion des unteren Urogenitaltraktes ohne periurethralen Abszess oder Abszess der Glandulae urethrales
A54.1;Gonokokkeninfektion des unteren Urogenitaltraktes mit periurethralem Abszess oder Abszess der Glandulae urethrales
A54.2;Pelviperitonitis durch Gonokokken und Gonokokkeninfektionen sonstiger Urogenitalorgane
A54.3;Gonokokkeninfektion des Auges
A54.4;Gonokokkeninfektion des Muskel-Skelett-Systems
A54.5;Gonokokkenpharyngitis
A54.6;Gonokokkeninfektion des Anus und des Rektums
A54.8;Sonstige Gonokokkeninfektionen
A54.9;Gonokokkeninfektion, nicht näher bezeichnet
A55;Lymphogranuloma inguinale (venereum) durch Chlamydien
A56;Sonstige durch Geschlechtsverkehr übertragene Chlamydienkrankheiten
A56.0;Chlamydieninfektion des unteren Urogenitaltraktes
A56.1;Chlamydieninfektion des Pelviperitoneums und sonstiger Urogenitalorgane
A56.2;Chlamydieninfektion des Urogenitaltraktes, nicht näher bezeichnet
A56.3;Chlamydieninfektion des Anus und des Rektums
A56.4;Chlamydieninfektion des Pharynx
A56.8;Durch Geschlechtsverkehr übertragene Chlamydieninfektion an sonstigen Lokalisationen
A57;Ulcus molle (venereum)
A58;Granuloma venereum (inguinale)
A59;Trichomoniasis
A59.0;Trichomoniasis urogenitalis
A59.8;Sonstige Lokalisationen der Trichomoniasis
A59.9;Trichomoniasis, nicht näher bezeichnet
A60;Infektionen des Anogenitalbereiches durch Herpesviren [Herpes simplex]
A60.0;Infektion der Genitalorgane und des Urogenitaltraktes durch Herpesviren
A60.1;Infektion der Perianalhaut und des Rektums durch Herpesviren
A60.9;Infektion des Anogenitalbereiches durch Herpesviren, nicht näher bezeichnet
A63;Sonstige vorwiegend durch Geschlechtsverkehr übertragene Krankheiten, anderenorts nicht klassifiziert
A63.0;Anogenitale (venerische) Warzen
A63.8;Sonstige näher bezeichnete, vorwiegend durch Geschlechtsverkehr übertragene Krankheiten
A64;Durch Geschlechtsverkehr übertragene Krankheiten, nicht näher bezeichnet
A65;Nichtvenerische Syphilis
A66;Frambösie
A66.0;Primärläsion bei Frambösie
A66.1;Multiple Papillome und Krabbenframbösie
A66.2;Sonstige Hautläsionen im Frühstadium der Frambösie
A66.3;Hyperkeratose bei Frambösie
A66.4;Gummata und Ulzera bei Frambösie
A66.5;Gangosa
A66.6;Knochen- und Gelenkveränderungen bei Frambösie
A66.7;Sonstige Manifestationen bei Frambösie
A66.8;Latente Frambösie
A66.9;Frambösie, nicht näher bezeichnet
A67;Pinta [Carate]
A67.0;Primärläsion bei Pinta
A67.1;Zwischenstadium der Pinta
A67.2;Spätstadium der Pinta
A67.3;Mischformen der Pinta
A67.9;Pinta, nicht näher bezeichnet
A68;Rückfallfieber
A68.0;Durch Läuse übertragenes Rückfallfieber
A68.1;Durch Zecken übertragenes Rückfallfieber
A68.9;Rückfallfieber, nicht näher bezeichnet
A69;Sonstige Spirochäteninfektionen
A69.0;Nekrotisierend-ulzeröse Stomatitis
A69.1;Sonstige Fusospirochätosen
A69.2;Lyme-Krankheit
A69.8;Sonstige näher bezeichnete Spirochäteninfektionen
A69.9;Spirochäteninfektion, nicht näher bezeichnet
A70;Infektionen durch Chlamydia psittaci
A71;Trachom
A71.0;Initialstadium des Trachoms
A71.1;Aktives Stadium des Trachoms
A71.9;Trachom, nicht näher bezeichnet
A74;Sonstige Krankheiten durch Chlamydien
A74.0;Chlamydienkonjunktivitis
A74.8;Sonstige Chlamydienkrankheiten
A74.9;Chlamydieninfektion, nicht näher bezeichnet
A75;Fleckfieber
A75.0;Epidemisches Fleckfieber durch Rickettsia prowazeki
A75.1;Fleckfieber-Spätrezidiv [Brill-Krankheit]
A75.2;Fleckfieber durch Rickettsia typhi [Rickettsia mooseri]
A75.3;Fleckfieber durch Rickettsia tsutsugamushi [Rickettsia orientalis]
A75.9;Fleckfieber, nicht näher bezeichnet
A77;Zeckenbissfieber [Rickettsiosen, durch Zecken übertragen]
A77.0;Zeckenbissfieber durch Rickettsia rickettsii
A77.1;Zeckenbissfieber durch Rickettsia conori
A77.2;Zeckenbissfieber durch Rickettsia sibirica
A77.3;Zeckenbissfieber durch Rickettsia australis
A77.8;Sonstige Zeckenbissfieber
A77.9;Zeckenbissfieber, nicht näher bezeichnet
A78;Q-Fieber
A79;Sonstige Rickettsiosen
A79.0;Wolhynisches Fieber
A79.1;Rickettsienpocken durch Rickettsia akari
A79.8;Sonstige näher bezeichnete Rickettsiosen
A79.9;Rickettsiose, nicht näher bezeichnet
A80;Akute Poliomyelitis [Spinale Kinderlähmung]
A80.0;Akute paralytische Poliomyelitis durch Impfvirus
A80.1;Akute paralytische Poliomyelitis durch importiertes Wildvirus
A80.2;Akute paralytische Poliomyelitis durch einheimisches Wildvirus
A80.3;Sonstige und nicht näher bezeichnete akute paralytische Poliomyelitis
A80.4;Akute nichtparalytische Poliomyelitis
A80.9;Akute Poliomyelitis, nicht näher bezeichnet
A81;Atypische Virus-Infektionen des Zentralnervensystems
A81.0;Creutzfeldt-Jakob-Krankheit
A81.1;Subakute sklerosierende Panenzephalitis
A81.2;Progressive multifokale Leukenzephalopathie
A81.8;Sonstige atypische Virus-Infektionen des Zentralnervensystems
A81.9;Atypische Virus-Infektion des Zentralnervensystems, nicht näher bezeichnet
A82;Tollwut [Rabies]
A82.0;Wildtier-Tollwut
A82.1;Haustier-Tollwut
A82.9;Tollwut, nicht näher bezeichnet
A83;Virusenzephalitis, durch Moskitos [Stechmücken] übertragen
A83.0;Japanische Enzephalitis
A83.1;Westliche Pferdeenzephalitis [Western-Equine-Encephalitis]
A83.2;Östliche Pferdeenzephalitis [Eastern-Equine-Encephalitis]
A83.3;St.-Louis-Enzephalitis
A83.4;Australische Enzephalitis
A83.5;Kalifornische Enzephalitis
A83.6;Rocio-Virusenzephalitis
A83.8;Sonstige Virusenzephalitis, durch Moskitos übertragen
A83.9;Virusenzephalitis, durch Moskitos übertragen, nicht näher bezeichnet
A84;Virusenzephalitis, durch Zecken übertragen
A84.0;Fernöstliche Enzephalitis, durch Zecken übertragen [Russische Frühsommer-Enzephalitis]
A84.1;Mitteleuropäische Enzephalitis, durch Zecken übertragen
A84.8;Sonstige Virusenzephalitis, durch Zecken übertragen
A84.9;Virusenzephalitis, durch Zecken übertragen, nicht näher bezeichnet
A85;Sonstige Virusenzephalitis, anderenorts nicht klassifiziert
A85.0;Enzephalitis durch Enteroviren
A85.1;Enzephalitis durch Adenoviren
A85.2;Virusenzephalitis, durch Arthropoden übertragen, nicht näher bezeichnet
A85.8;Sonstige näher bezeichnete Virusenzephalitis
A86;Virusenzephalitis, nicht näher bezeichnet
A87;Virusmeningitis
A87.0;Meningitis durch Enteroviren
A87.1;Meningitis durch Adenoviren
A87.2;Lymphozytäre Choriomeningitis
A87.8;Sonstige Virusmeningitis
A87.9;Virusmeningitis, nicht näher bezeichnet
A88;Sonstige Virusinfektionen des Zentralnervensystems, anderenorts nicht klassifiziert
A88.0;Fieber und Exanthem durch Enteroviren [Boston-Exanthem]
A88.1;Epidemischer Schwindel
A88.8;Sonstige näher bezeichnete Virusinfektionen des Zentralnervensystems
A89;Virusinfektion des Zentralnervensystems, nicht näher bezeichnet
A90;Dengue-Fieber [Klassische Dengue]
A91;Hämorrhagisches Dengue-Fieber
A92;Sonstige durch Moskitos [Stechmücken] übertragene Viruskrankheiten
A92.0;Chikungunya-Viruskrankheit
A92.1;O'Nyong-nyong-Fieber
A92.2;Venezolanisches Pferdefieber
A92.3;West-Nil-Virusinfektion
A92.4;Rifttalfieber
A92.8;Sonstige näher bezeichnete, durch Moskitos übertragene Viruskrankheiten
A92.9;Durch Moskitos übertragene Viruskrankheit, nicht näher bezeichnet
A93;Sonstige durch Arthropoden übertragene Viruskrankheiten, anderenorts nicht klassifiziert
A93.0;Oropouche-Viruskrankheit
A93.1;Pappataci-Fieber
A93.2;Colorado-Zeckenfieber
A93.8;Sonstige näher bezeichnete, durch Arthropoden übertragene Viruskrankheiten
A94;Durch Arthropoden übertragene Viruskrankheit, nicht näher bezeichnet
A95;Gelbfieber
A95.0;Buschgelbfieber
A95.1;Urbanes Gelbfieber
A95.9;Gelbfieber, nicht näher bezeichnet
A96;Hämorrhagisches Fieber durch Arenaviren
A96.0;Hämorrhagisches Fieber durch Junin-Viren
A96.1;Hämorrhagisches Fieber durch Machupo-Viren
A96.2;Lassa-Fieber
A96.8;Sonstiges hämorrhagisches Fieber durch Arenaviren
A96.9;Hämorrhagisches Fieber durch Arenaviren, nicht näher bezeichnet
A98;Sonstige hämorrhagische Viruskrankheiten, anderenorts nicht klassifiziert
A98.0;Hämorrhagisches Krim-Kongo-Fieber
A98.1;Hämorrhagisches Omsk-Fieber
A98.2;Kyasanur-Wald-Krankheit
A98.3;Marburg-Viruskrankheit
A98.4;Ebola-Viruskrankheit
A98.5;Hämorrhagisches Fieber mit renalem Syndrom
A98.8;Sonstige näher bezeichnete hämorrhagische Viruskrankheiten
A99;Nicht näher bezeichnete hämorrhagische Viruskrankheit
B00;Infektionen durch Herpesviren [Herpes simplex]
B00.0;Ekzema herpeticatum Kaposi
B00.1;Dermatitis vesicularis durch Herpesviren
B00.2;Gingivostomatitis herpetica und Pharyngotonsillitis herpetica
B00.3;Meningitis durch Herpesviren
B00.4;Enzephalitis durch Herpesviren
B00.5;Augenkrankheit durch Herpesviren
B00.7;Disseminierte Herpesvirus-Krankheit
B00.8;Sonstige Infektionsformen durch Herpesviren
B00.9;Infektion durch Herpesviren, nicht näher bezeichnet
B01;Varizellen [Windpocken]
B01.0;Varizellen-Meningitis
B01.1;Varizellen-Enzephalitis
B01.2;Varizellen-Pneumonie
B01.8;Varizellen mit sonstigen Komplikationen
B01.9;Varizellen ohne Komplikation
B02;Zoster [Herpes zoster]
B02.0;Zoster-Enzephalitis
B02.1;Zoster-Meningitis
B02.2;Zoster mit Beteiligung anderer Abschnitte des Nervensystems
B02.3;Zoster ophthalmicus
B02.7;Zoster generalisatus
B02.8;Zoster mit sonstigen Komplikationen
B02.9;Zoster ohne Komplikation
B03;Pocken
B04;Affenpocken
B05;Masern
B05.0;Masern, kompliziert durch Enzephalitis
B05.1;Masern, kompliziert durch Meningitis
B05.2;Masern, kompliziert durch Pneumonie
B05.3;Masern, kompliziert durch Otitis media
B05.4;Masern mit Darmkomplikationen
B05.8;Masern mit sonstigen Komplikationen
B05.9;Masern ohne Komplikation
B06;Röteln [Rubeola] [Rubella]
B06.0;Röteln mit neurologischen Komplikationen
B06.8;Röteln mit sonstigen Komplikationen
B06.9;Röteln ohne Komplikation
B07;Viruswarzen
B08;Sonstige Virusinfektionen, die durch Haut- und Schleimhautläsionen gekennzeichnet sind, anderenorts nicht klassifiziert
B08.0;Sonstige Infektionen durch Orthopoxviren
B08.1;Molluscum contagiosum
B08.2;Exanthema subitum [Sechste Krankheit]
B08.3;Erythema infectiosum [Fünfte Krankheit]
B08.4;Vesikuläre Stomatitis mit Exanthem durch Enteroviren
B08.5;Vesikuläre Pharyngitis durch Enteroviren
B08.8;Sonstige näher bezeichnete Virusinfektionen, die durch Haut- und Schleimhautläsionen gekennzeichnet sind
B09;Nicht näher bezeichnete Virusinfektion, die durch Haut- und Schleimhautläsionen gekennzeichnet ist
B15;Akute Virushepatitis A
B15.0;Virushepatitis A mit Coma hepaticum
B15.9;Virushepatitis A ohne Coma hepaticum
B16;Akute Virushepatitis B
B16.0;Akute Virushepatitis B mit Delta-Virus (Begleitinfektion) und mit Coma hepaticum
B16.1;Akute Virushepatitis B mit Delta-Virus (Begleitinfektion) ohne Coma hepaticum
B16.2;Akute Virushepatitis B ohne Delta-Virus mit Coma hepaticum
B16.9;Akute Virushepatitis B ohne Delta-Virus und ohne Coma hepaticum
B17;Sonstige akute Virushepatitis
B17.0;Akute Delta-Virus- (Super-) Infektion eines Hepatitis-B- (Virus-) Trägers
B17.1;Akute Virushepatitis C
B17.2;Akute Virushepatitis E
B17.8;Sonstige näher bezeichnete akute Virushepatitis
B17.9;Akute Virushepatitis, nicht näher bezeichnet
B18;Chronische Virushepatitis
B18.0;Chronische Virushepatitis B mit Delta-Virus
B18.1;Chronische Virushepatitis B ohne Delta-Virus
B18.2;Chronische Virushepatitis C
B18.8;Sonstige chronische Virushepatitis
B18.9;Chronische Virushepatitis, nicht näher bezeichnet
B19;Nicht näher bezeichnete Virushepatitis
B19.0;Nicht näher bezeichnete Virushepatitis mit hepatischem Koma
B19.9;Nicht näher bezeichnete Virushepatitis ohne hepatisches Koma
B20;Infektiöse und parasitäre Krankheiten infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B21;Bösartige Neubildungen infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B22;Sonstige näher bezeichnete Krankheiten infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B23;Sonstige Krankheitszustände infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B23.0;Akutes HIV-Infektionssyndrom
B23.8;Sonstige näher bezeichnete Krankheitszustände infolge HIV-Krankheit
B24;Nicht näher bezeichnete HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B25;Zytomegalie
B25.0;Pneumonie durch Zytomegalieviren
B25.1;Hepatitis durch Zytomegalieviren
